algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0,145,9505,8
QuickSort,random,1000,0,150,10829,8
QuickSelect,random,1000,0,031,3140,14
MergeSort,sorted,1000,0,040,4236,8
QuickSort,sorted,1000,0,103,11518,7
QuickSelect,sorted,1000,0,040,3442,13
MergeSort,duplicates,1000,0,123,9128,8
QuickSort,duplicates,1000,0,024,3497,3
QuickSelect,duplicates,1000,0,018,2448,4
MergeSort,random,10000,2,393,126952,11
QuickSort,random,10000,1,177,160327,9
QuickSelect,random,10000,0,195,42045,16
MergeSort,sorted,10000,0,232,59248,11
QuickSort,sorted,10000,0,494,160159,9
QuickSelect,sorted,10000,0,045,39819,18
MergeSort,duplicates,10000,0,387,121405,11
QuickSort,duplicates,10000,0,155,33033,3
QuickSelect,duplicates,10000,0,106,21108,3
MergeSort,random,100000,9,015,1639067,14
QuickSort,random,100000,10,880,2123119,12
QuickSelect,random,100000,1,468,305187,22
MergeSort,sorted,100000,1,695,744016,14
QuickSort,sorted,100000,5,351,2119405,12
QuickSelect,sorted,100000,0,426,436568,21
MergeSort,duplicates,100000,4,613,1562558,14
QuickSort,duplicates,100000,1,417,340769,3
QuickSelect,duplicates,100000,1,147,220854,4
MergeSort,random,1000000,114,107,19886797,18
QuickSort,random,1000000,172,533,24993037,14
QuickSelect,random,1000000,13,922,2891232,29
MergeSort,sorted,1000000,37,430,9071040,18
QuickSort,sorted,1000000,71,681,25336958,14
QuickSelect,sorted,1000000,4,861,3117872,28
MergeSort,duplicates,1000000,76,959,18921256,18
QuickSort,duplicates,1000000,19,057,3700735,3
QuickSelect,duplicates,1000000,14,717,2398909,3
